MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo
23631590,367001670,2015-01-31 23:54:01,48.1255,-123.45222,0.0,-123.1,511.0,VULCAN,,WB4266,1025.0,under way using engine,21.98,5.5,0.0,52.0
24364861,316005724,2015-01-31 23:53:58,48.41472,-123.38552,0.1,167.2,511.0,CHARLES H CATES IV,,,1025.0,under way using engine,14.23,5.36,1.71,52.0
23611579,211378370,2015-01-31 23:53:47,48.24163,-123.99301000000001,14.5,112.7,110.0,HANJIN BRUSSELS,IMO9200691,DIGW,71.0,under way using engine,278.0,40.0,12.3,71.0
23653953,316013431,2015-01-31 23:53:46,48.41467,-123.38626000000001,0.0,-145.1,246.0,PACIFIC SCOUT,,,,undefined,19.0,6.06,2.88,50.0
24364215,366980250,2015-01-31 23:53:39,48.1361,-123.46131000000001,0.1,-190.9,511.0,BRIAN S,IMO8841943,WCP9410,1025.0,moored,30.05,8.84,3.51,31.0
24364317,338899000,2015-01-31 23:53:35,48.12571,-123.44473,0.0,-117.3,113.0,COMMITMENT,IMO9369411,WDE3894,1025.0,moored,40.05,12.8,6.86,31.0
23627231,366825190,2015-01-31 23:53:32,48.140570000000004,-123.42563,0.0,-147.4,294.0,PUGET SOUND,,WCZ5670,,reserved for future use (9),22.62,6.0,0.0,50.0
23632892,351752000,2015-01-31 23:53:29,48.33852,-123.36528,0.1,33.0,87.0,CIELO DI AMALFI,IMO9374349,3ENR2,1004.0,at anchor,177.85,28.6,10.87,91.0
23612819,352910000,2015-01-31 23:53:28,48.25742,-123.613,13.6,-130.6,277.0,LEO FOREST,IMO9166211,3FPH8,70.0,under way using engine,177.0,29.0,6.4,70.0
23628591,316013711,2015-01-31 23:53:24,48.43975,-123.44742,0.0,-187.4,292.0,CFAV GLENDYNE,,CGNF,,under way using engine,29.0,0.0,0.0,
23629205,316003657,2015-01-31 23:53:21,48.41473,-123.38602,0.0,0.0,511.0,SEASPAN FOAM,,,1025.0,under way using engine,17.68,6.1,2.44,
23633178,369077000,2015-01-31 23:53:20,48.22553,-123.86878999999999,8.5,106.0,106.0,HOS DOMINATOR,IMO9265811,WDA6788,1010.0,under way using engine,72.54,16.46,4.11,70.0
23614016,316005175,2015-01-31 23:53:19,48.41458,-123.38655,0.1,-161.0,511.0,PACIFIC PILOT TWO,,CG2436,,under way using engine,18.78,5.06,2.29,0.0
23629236,316011773,2015-01-31 23:53:18,48.43315,-123.43363000000001,0.0,48.0,165.0,HMCS GRIZZLY,,CGCA,1018.0,under way using engine,0.0,0.0,0.0,
23612501,316026746,2015-01-31 23:53:18,48.36984,-123.72599,0.1,14.2,511.0,EDGE,,,1001.0,,11.13,3.9,1.52,
23617081,366824910,2015-01-31 23:53:17,48.14066,-123.42551999999999,0.0,-65.2,292.0,JUAN DE FUCA,,WDA5852,1001.0,undefined,22.65,6.0,0.0,90.0
23616713,316009747,2015-01-31 23:53:16,48.43342,-123.43398,0.0,-110.3,163.0,HMCS RAVEN,,CGAM,1018.0,moored,0.0,0.0,0.0,35.0
23614547,316002500,2015-01-31 23:52:58,48.43107,-123.37596,0.0,-169.3,266.0,ORCA CHIEF,IMO9165499,CFL9619,1001.0,undefined,34.52,9.5,5.06,
23627730,367565030,2015-01-31 23:52:58,48.12271,-123.44362,0.2,29.5,511.0,WAVE WALKER,,WDG7216,1019.0,,19.81,0.0,0.0,
23627542,211378360,2015-01-31 23:52:55,48.13341,-123.43396000000001,0.0,-148.6,261.0,HANJIN OTTAWA,IMO9200718,DANM,1004.0,at anchor,278.08,40.3,14.0,79.0
23653612,367001670,2015-01-31 23:52:51,48.12546,-123.45227,0.0,-129.0,511.0,VULCAN,,WB4266,1025.0,under way using engine,21.98,5.5,0.0,52.0
23629938,316005724,2015-01-31 23:52:49,48.41471,-123.38552,0.1,184.8,511.0,CHARLES H CATES IV,,,1025.0,under way using engine,14.23,5.36,1.71,52.0
23628412,316004039,2015-01-31 23:52:46,48.424690000000005,-123.37148,0.0,0.0,511.0,MAPLE LEAF,,VA4KIU,,,18.14,4.48,2.38,
24363352,211378370,2015-01-31 23:52:41,48.24333,-123.99928,14.6,112.3,110.0,HANJIN BRUSSELS,IMO9200691,DIGW,71.0,under way using engine,278.0,40.0,12.3,71.0
23628403,367086320,2015-01-31 23:52:40,48.06179,-123.03901,0.0,0.0,511.0,MALAIKA,,WDC8392,1019.0,,12.8,3.8,0.0,
23629759,316013431,2015-01-31 23:52:36,48.414640000000006,-123.38626000000001,0.0,-164.2,245.0,PACIFIC SCOUT,,,,undefined,19.0,6.06,2.88,50.0
23611962,366910890,2015-01-31 23:52:32,48.132220000000004,-123.44977,0.0,-87.1,511.0,ADRIATIC SEA,IMO7716969,WDB5553,1025.0,at anchor,38.41,10.37,4.18,52.0
23633397,367528820,2015-01-31 23:52:28,48.12644,-123.45652,0.0,0.0,511.0,CABOLICIOUS,,WDG3703,1019.0,,10.52,0.0,0.0,
23627045,303436000,2015-01-31 23:52:26,48.12461,-123.44041999999999,0.0,-158.8,253.0,W C PARK RESPONDER,IMO9043835,WBO8587,1011.0,moored,63.55,13.41,4.37,54.0
23616280,316004410,2015-01-31 23:52:21,48.3699,-123.72593,0.0,0.0,511.0,ELIZA JOYE,,,1001.0,,13.38,5.43,2.19,
23627227,366825190,2015-01-31 23:52:21,48.14055,-123.42563,0.0,-153.1,294.0,PUGET SOUND,,WCZ5670,,reserved for future use (9),22.62,6.0,0.0,50.0
23616116,369077000,2015-01-31 23:52:19,48.22616,-123.87218,8.5,106.0,106.0,HOS DOMINATOR,IMO9265811,WDA6788,1010.0,under way using engine,72.54,16.46,4.11,70.0
23609647,352910000,2015-01-31 23:52:19,48.25672,-123.6066,13.5,-130.6,277.0,LEO FOREST,IMO9166211,3FPH8,70.0,under way using engine,177.0,29.0,6.4,70.0
23633613,316005175,2015-01-31 23:52:18,48.41457,-123.38656,0.1,-167.3,511.0,PACIFIC PILOT TWO,,CG2436,,under way using engine,18.78,5.06,2.29,0.0
24363459,316003657,2015-01-31 23:52:10,48.41473,-123.38603,0.0,0.0,511.0,SEASPAN FOAM,,,1025.0,under way using engine,17.68,6.1,2.44,
23614109,316011773,2015-01-31 23:52:08,48.43312,-123.43372,0.0,-177.6,165.0,HMCS GRIZZLY,,CGCA,1018.0,under way using engine,0.0,0.0,0.0,
23629757,366824910,2015-01-31 23:52:06,48.140679999999996,-123.42551,0.0,-153.7,291.0,JUAN DE FUCA,,WDA5852,1001.0,undefined,22.65,6.0,0.0,90.0
23653634,316013711,2015-01-31 23:52:04,48.43974,-123.44742,0.0,-164.9,292.0,CFAV GLENDYNE,,CGNF,,under way using engine,29.0,0.0,0.0,
23629415,316001538,2015-01-31 23:52:04,48.42329,-123.38428,0.0,0.0,511.0,JOHN STRICKLAND,,CZ4835,,moored,14.94,4.42,1.4,
23616777,316011515,2015-01-31 23:51:57,48.43311,-123.43378999999999,0.0,-154.9,165.0,HMCS WOLF,,CGBP,1018.0,moored,0.0,0.0,0.0,35.0
23614534,316002500,2015-01-31 23:51:48,48.43107,-123.37593000000001,0.0,-169.3,266.0,ORCA CHIEF,IMO9165499,CFL9619,1001.0,undefined,34.52,9.5,5.06,
23654194,368168000,2015-01-31 23:51:45,48.12563,-123.453,0.0,202.4,30.0,SOLUTION,IMO9609809,WDF6808,1019.0,moored,43.53,7.9,2.37,
23634550,316116000,2015-01-31 23:51:45,48.43657,-123.42443999999999,0.0,-70.1,84.0,CCGS W E RICKER,IMO7809364,CG2965,1020.0,moored,58.0,9.53,3.85,51.0
23653507,367001670,2015-01-31 23:51:40,48.12555,-123.45215,0.0,-117.9,511.0,VULCAN,,WB4266,1025.0,under way using engine,21.98,5.5,0.0,52.0
