MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo
316001267,2015-01-01T00:00:02,48.75751,-123.44041,14.2,141.4,143.0,SKEENA QUEEN,IMO9137090,CFL8497,1012,under way using engine,110.0000,24.0000,2.8000,69
367494000,2015-01-01T00:02:31,47.65957,-122.37972,0.0,-99.6,511.0,AQUILA,IMO7127704,WDI8332,1002,under way using engine,50.3000,11.6400,3.3300,33
367570060,2015-01-01T00:03:28,48.55828,-122.93328,0.1,-120.1,25.0,C JEWEL,,WDG7711,1019,at anchor,29.3500,7.1000,0.0000,
367626230,2015-01-01T00:03:48,47.62864,-122.39203,0.0,-184.2,511.0,NO WORRIES,,WDH5268,1019,,16.7900,0.0000,0.0000,
373558000,2015-01-01T00:03:21,48.51218,-124.81299,14.8,-140.2,268.0,TWINLUCK SW,IMO9473767,3FCW3,1004,under way using engine,175.5300,29.4000,9.6200,
366950020,2015-01-01T00:00:01,38.00496,-122.39332,31.8,47.1,47.0,SOLANO,IMO8988416,WDB7930,1012,under way using engine,41.3000,11.5000,1.5000,
367187410,2015-01-01T00:00:09,47.65897,-122.38041,0.0,-75.9,511.0,SELDOVIA,,WDD7509,30,under way using engine,29.0000,9.0000,3.0000,30
316006101,2015-01-01T00:01:20,49.29114,-122.97373,0.0,-99.6,511.0,CINDY MOZEL,IMO7406708,CFN6143,1025,under way using engine,23.3200,7.3200,3.8900,52
319661000,2015-01-01T00:03:35,37.84833,-122.47333,0.0,-62.7,347.0,KOGO,IMO1008504,ZCOP3,1019,under way using engine,71.7100,14.0000,4.0100,
366950020,2015-01-01T00:04:06,38.02469,-122.35540,31.9,60.0,61.0,SOLANO,IMO8988416,WDB7930,1012,under way using engine,41.3000,11.5000,1.5000,
367626230,2015-01-01T00:00:49,47.62863,-122.39203,0.0,-184.2,511.0,NO WORRIES,,WDH5268,1019,,16.7900,0.0000,0.0000,
239947000,2015-01-01T00:00:08,46.20843,-123.80305,0.2,155.0,77.0,ALPHA MELODY,IMO9221889,SYVH,1004,at anchor,224.9100,32.2600,14.1000,70
367494000,2015-01-01T00:03:41,47.65956,-122.37970,0.0,-97.8,511.0,AQUILA,IMO7127704,WDI8332,1002,under way using engine,50.3000,11.6400,3.3300,33
316001267,2015-01-01T00:01:08,48.75406,-123.43635,14.2,142.3,146.0,SKEENA QUEEN,IMO9137090,CFL8497,1012,under way using engine,110.0000,24.0000,2.8000,69
316001234,2015-01-01T00:03:43,48.88135,-123.57433,1.0,93.0,100.0,HOWE SOUND QUEEN,IMO6418546,CY3842,1012,under way using engine,73.4600,18.4500,3.2000,60
366950020,2015-01-01T00:02:03,38.01593,-122.37586,31.7,57.8,60.0,SOLANO,IMO8988416,WDB7930,1012,under way using engine,41.3000,11.5000,1.5000,
366950020,2015-01-01T00:03:04,38.02026,-122.36552,31.7,63.4,65.0,SOLANO,IMO8988416,WDB7930,1012,under way using engine,41.3000,11.5000,1.5000,
366946000,2015-01-01T00:00:07,47.63102,-122.38215,0.1,-190.6,178.0,PACIFIC GLACIER,IMO7391276,WRYH,1001,under way using engine,84.0000,13.4200,4.9000,30
319661000,2015-01-01T00:00:05,37.84833,-122.47333,0.0,-62.6,347.0,KOGO,IMO1008504,ZCOP3,1019,under way using engine,71.7100,14.0000,4.0100,
316001267,2015-01-01T00:02:14,48.75057,-123.43238,14.3,139.4,140.0,SKEENA QUEEN,IMO9137090,CFL8497,1012,under way using engine,110.0000,24.0000,2.8000,69
366946000,2015-01-01T00:02:26,47.63102,-122.38217,0.0,-190.6,178.0,PACIFIC GLACIER,IMO7391276,WRYH,1001,under way using engine,84.0000,13.4200,4.9000,30
366773110,2015-01-01T00:00:07,48.58533,-122.92975,0.7,-85.0,359.0,WSF KLAHOWYA,IMO8836209,WK7107,1012,undefined,90.4300,22.2800,5.6400,
316001267,2015-01-01T00:04:25,48.74379,-123.42378,14.6,143.1,144.0,SKEENA QUEEN,IMO9137090,CFL8497,1012,under way using engine,110.0000,24.0000,2.8000,69
366946000,2015-01-01T00:04:36,47.63098,-122.38212,0.0,-190.6,178.0,PACIFIC GLACIER,IMO7391276,WRYH,1001,under way using engine,84.0000,13.4200,4.9000,30
372448000,2015-01-01T00:00:37,37.75797,-122.33593,0.3,87.0,355.0,ARGENT EYEBRIGHT,IMO9412737,3FKM7,80,at anchor,170.0000,26.0000,11.5000,80
316006101,2015-01-01T00:00:09,49.29111,-122.97369,0.0,-100.4,511.0,CINDY MOZEL,IMO7406708,CFN6143,1025,under way using engine,23.3200,7.3200,3.8900,52
373558000,2015-01-01T00:01:08,48.51235,-124.79945,14.7,-140.4,268.0,TWINLUCK SW,IMO9473767,3FCW3,1004,under way using engine,175.5300,29.4000,9.6200,
316005721,2015-01-01T00:00:02,49.31083,-123.10691,0.0,136.6,511.0,CHARLES H CATES I,IMO8703218,,1025,under way using engine,24.3900,8.8400,2.9600,52
319661000,2015-01-01T00:01:16,37.84833,-122.47333,0.0,-62.9,347.0,KOGO,IMO1008504,ZCOP3,1019,under way using engine,71.7100,14.0000,4.0100,
367187410,2015-01-01T00:03:40,47.65896,-122.38040,0.1,-141.4,511.0,SELDOVIA,,WDD7509,30,under way using engine,29.0000,9.0000,3.0000,30
319661000,2015-01-01T00:02:25,37.84833,-122.47333,0.0,-62.8,347.0,KOGO,IMO1008504,ZCOP3,1019,under way using engine,71.7100,14.0000,4.0100,
366985270,2015-01-01T00:04:28,37.81259,-122.40862,8.4,-183.3,236.0,HARBOR EMPEROR,,WCY6430,1012,under way using engine,25.3000,9.8000,0.0000,
316006101,2015-01-01T00:02:30,49.29113,-122.97378,0.0,-101.0,511.0,CINDY MOZEL,IMO7406708,CFN6143,1025,under way using engine,23.3200,7.3200,3.8900,52
366773110,2015-01-01T00:01:08,48.58638,-122.92979,5.8,-59.8,342.0,WSF KLAHOWYA,IMO8836209,WK7107,1012,undefined,90.4300,22.2800,5.6400,
316013835,2015-01-01T00:03:18,48.74763,-123.22967,0.0,106.8,511.0,MOON SHADOW VI,,,1019,,10.6000,3.8000,2.5300,
367187410,2015-01-01T00:01:20,47.65897,-122.38043,0.1,-66.3,511.0,SELDOVIA,,WDD7509,30,under way using engine,29.0000,9.0000,3.0000,30
316001267,2015-01-01T00:03:20,48.74719,-123.42811,14.5,138.9,140.0,SKEENA QUEEN,IMO9137090,CFL8497,1012,under way using engine,110.0000,24.0000,2.8000,69
316005721,2015-01-01T00:01:13,49.31084,-123.10691,0.1,-140.9,511.0,CHARLES H CATES I,IMO8703218,,1025,under way using engine,24.3900,8.8400,2.9600,52
367494000,2015-01-01T00:01:20,47.65956,-122.37969,0.1,-94.3,511.0,AQUILA,IMO7127704,WDI8332,1002,under way using engine,50.3000,11.6400,3.3300,33
316001234,2015-01-01T00:02:41,48.88137,-123.57557,4.4,90.0,93.0,HOWE SOUND QUEEN,IMO6418546,CY3842,1012,under way using engine,73.4600,18.4500,3.2000,60
